zip_code,value,latitude,longitude
91001,116,34.1912,-118.1392
11420,116,40.6744,-73.819
33602,116,27.9614,-82.4597
11413,116,40.6645,-73.7559
77049,116,29.8235,-95.1848
60610,116,41.9033,-87.6336
91324,116,34.2367,-118.5466
48331,116,42.5051,-83.4072
21061,116,39.1618,-76.6297
95833,116,38.6157,-121.5053
48187,116,42.332,-83.4695
22556,116,38.4718,-77.5102
27519,116,35.8072,-78.887
30093,115,33.906,-84.184
21136,115,39.46,-76.8135
30363,115,33.791,-84.3992
89012,115,36.0119,-115.0433
89084,115,36.2815,-115.1482
77024,115,29.7696,-95.5201
20852,115,39.0496,-77.1204
07030,114,40.7445,-74.0329
92880,114,33.9208,-117.6096
27407,114,36.0334,-79.8626
92563,114,33.569,-117.1783
90048,114,34.0737,-118.372
85255,114,33.6968,-111.8892
10703,114,40.9518,-73.8852
91762,114,34.0584,-117.6665
33176,114,25.6574,-80.3627
60438,114,41.566,-87.5446
06516,114,41.2701,-72.9638
92882,114,33.8419,-117.6043
94611,114,37.8471,-122.2223
32822,114,28.4944,-81.2902
60402,114,41.8347,-87.7914
33428,113,26.3446,-80.2109
02125,113,42.2973,-71.0745
32839,113,28.4871,-81.4082
11581,113,40.6523,-73.7118
19701,113,39.6102,-75.6747
20602,113,38.584,-76.8942
90220,113,33.8748,-118.2402
95020,112,37.0139,-121.5773
11237,112,40.7006,-73.918
33436,112,26.5354,-80.1124
91104,112,34.1678,-118.1261
92553,112,33.9157,-117.2351
19128,112,40.0402,-75.2231
19121,112,39.9811,-75.174
32818,112,28.5801,-81.4846
75038,112,32.8653,-96.9905
93311,112,35.3039,-119.1056
80249,112,39.7783,-104.7557
30102,112,34.0707,-84.5894
10030,112,40.8183,-73.9426
90723,111,33.8969,-118.1632
94541,111,37.674,-122.0894
23464,111,36.7978,-76.1759
92614,111,33.6829,-117.8298
33607,111,27.9625,-82.4895
21244,111,39.3331,-76.7849
77089,111,29.594,-95.2218
90240,111,33.9581,-118.1174
30005,111,34.0782,-84.2281
95687,111,38.3482,-121.9538
77498,110,29.6396,-95.65
06002,110,41.8316,-72.7249
19082,110,39.9579,-75.2681
33126,110,25.7763,-80.2919
90210,110,34.0901,-118.4065
10309,110,40.5352,-74.2116
91786,110,34.1144,-117.6583
33122,109,25.8001,-80.281
30238,109,33.4944,-84.3797
85286,109,33.2711,-111.8311
77043,109,29.8052,-95.5607
77045,109,29.6297,-95.4382
90712,109,33.8512,-118.1457
22301,109,38.82,-77.0589
19153,109,39.9055,-75.2444
30215,109,33.3943,-84.4738
30338,109,33.9669,-84.3249
30134,109,33.7606,-84.7477
20723,109,39.1208,-76.8435
80022,109,39.8259,-104.9113
32225,109,30.351,-81.5061
92880,108,33.9208,-117.6096
95112,108,37.3476,-121.887
33161,108,25.8934,-80.1758
10001,108,40.7484,-73.9967
79936,108,31.7677,-106.3016
11105,108,40.7763,-73.911
77063,108,29.7348,-95.522
90056,108,33.9853,-118.3707
21208,108,39.3764,-76.729
28173,108,34.9251,-80.7278
48322,107,42.5424,-83.3793
85296,107,33.3354,-111.7406
30349,107,33.6053,-84.4813
91107,107,34.151,-118.0889
33155,107,25.7392,-80.3103
11229,107,40.6011,-73.9475
01902,107,42.4698,-70.942
33185,107,25.7274,-80.4497
90230,106,33.9949,-118.3991
21702,106,39.4926,-77.4612
95823,106,38.4797,-121.4438
75044,106,32.9522,-96.6654
30342,106,33.8842,-84.3761
07042,106,40.8131,-74.2165
95624,106,38.4232,-121.3599
39211,106,32.3739,-90.1293
77021,106,29.6954,-95.3562
07407,106,40.9069,-74.1209
77020,106,29.7758,-95.3121
91306,106,34.2092,-118.5749
10301,106,40.6316,-74.0927
60652,106,41.7454,-87.7135
02920,106,41.7716,-71.4659
20871,106,39.2387,-77.2794
91401,106,34.1802,-118.4324
33625,105,28.0726,-82.559
32792,105,28.5974,-81.3036
90069,105,34.0906,-118.3788
70810,105,30.3633,-91.0919
21144,105,39.1275,-76.698
20746,105,38.8425,-76.9222
32216,105,30.2787,-81.5831
91205,105,34.1378,-118.2425
37203,105,36.1504,-86.7916
30030,105,33.7699,-84.295
30106,105,33.8369,-84.6307
34744,105,28.3078,-81.3681
10128,105,40.7816,-73.9511
06810,105,41.3917,-73.4532
92648,104,33.6773,-118.0051
85260,104,33.6013,-111.8867
20032,104,38.8338,-76.9995
33332,104,26.0596,-80.4146
95127,104,37.3692,-121.8208
77055,104,29.7971,-95.4958
85395,104,33.479,-112.3947
60430,104,41.5556,-87.6616
85295,104,33.3054,-111.7408
94547,104,38.0066,-122.2637
93722,104,36.7918,-119.8801
90631,104,33.9331,-117.9493
91911,103,32.6084,-117.0565
02908,103,41.8383,-71.4377
33326,103,26.1158,-80.3681
94606,103,37.7957,-122.2429
07103,103,40.737,-74.1964
11717,103,40.7809,-73.2503
33570,103,27.7015,-82.4355
89147,103,36.1128,-115.2801
48237,102,42.4662,-83.184
11429,102,40.709,-73.7401
95747,102,38.7703,-121.3372
60429,102,41.5738,-87.6849
75215,102,32.7582,-96.7623
38017,102,35.0551,-89.6767
