zip_code,value,latitude,longitude
94303,39,37.4673,-122.1388
91403,38,34.1514,-118.4603
92201,38,33.7207,-116.2168
95403,38,38.4822,-122.7473
91602,38,34.151,-118.3663
92307,38,34.5291,-117.2132
93257,38,36.0686,-119.0315
94602,38,37.8011,-122.2104
90007,38,34.0294,-118.2871
94608,38,37.8365,-122.2804
90061,38,33.9245,-118.2716
95356,38,37.7005,-121.0252
91732,37,34.0705,-118.0149
94526,37,37.814,-121.966
92069,37,33.1444,-117.1697
91411,37,34.1781,-118.4574
93612,37,36.8149,-119.7106
94519,37,37.9841,-122.0119
92119,37,32.8036,-117.0261
95212,37,38.0315,-121.2589
90502,37,33.8286,-118.292
92021,36,32.8178,-116.9223
92701,36,33.7523,-117.8541
94025,36,37.4396,-122.1864
90710,36,33.797,-118.2991
94010,35,37.5671,-122.3676
91741,35,34.1537,-117.8437
95901,35,39.1663,-121.5105
94619,35,37.7878,-122.1884
90621,35,33.8772,-117.9893
94506,35,37.8321,-121.9167
95993,35,39.1237,-121.6611
93725,35,36.6207,-119.7308
92509,35,34.0033,-117.445
92649,35,33.718,-118.0505
95210,35,38.025,-121.2972
93021,35,34.2784,-118.8771
95032,35,37.2417,-121.9554
94705,35,37.8571,-122.25
93901,35,36.6677,-121.6596
93307,34,35.3275,-118.9839
92582,34,33.7883,-116.9819
92354,34,34.0528,-117.2513
93101,34,34.4197,-119.7078
91207,34,34.1649,-118.2451
91406,34,34.2006,-118.4868
91768,34,34.0662,-117.7763
92843,34,33.7671,-117.929
95135,34,37.2974,-121.7562
90715,34,33.8405,-118.0767
93033,34,34.1685,-119.1717
90720,34,33.7956,-118.0648
92211,34,33.7644,-116.3398
90211,33,34.0652,-118.383
92308,33,34.4698,-117.1927
90808,33,33.8241,-118.1103
94044,33,37.6196,-122.4816
91343,33,34.2366,-118.4758
94110,33,37.7509,-122.4153
94588,33,37.6873,-121.8957
91723,33,34.086,-117.8843
93933,33,36.6849,-121.7934
92625,33,33.6021,-117.8743
92040,33,32.8562,-116.9201
92027,33,33.1388,-117.052
92590,33,33.4903,-117.1824
94123,33,37.7999,-122.4342
91010,33,34.1407,-117.9567
95350,33,37.6746,-121.0113
92841,32,33.7817,-117.9766
92860,32,33.9247,-117.5517
94550,32,37.683,-121.763
92688,32,33.6512,-117.5938
93638,32,37.0402,-120.0335
92870,32,33.8744,-117.8543
92808,32,33.8579,-117.7513
91803,32,34.0745,-118.1434
92675,32,33.5085,-117.6565
92672,32,33.4361,-117.6231
94566,32,37.6658,-121.8755
91303,31,34.1993,-118.5983
94402,31,37.5507,-122.3276
92832,31,33.868,-117.9265
93905,31,36.6811,-121.6176
95204,31,37.9743,-121.3154
95240,31,38.1222,-121.2555
95120,31,37.2144,-121.8574
90043,31,33.9871,-118.3321
91502,31,34.1745,-118.3059
91752,31,33.9938,-117.5236
90077,31,34.1112,-118.4502
95762,31,38.685,-121.068
92037,31,32.8455,-117.2521
91390,31,34.4684,-118.5261
92591,31,33.5217,-117.1286
91711,31,34.1092,-117.7183
93230,30,36.3314,-119.6491
94401,30,37.5735,-122.3225
91325,30,34.2353,-118.5188
94105,30,37.7864,-122.3892
94549,30,37.8961,-122.1119
93012,30,34.2218,-118.9866
90254,30,33.8643,-118.3955
94043,30,37.4056,-122.0775
94702,30,37.8656,-122.2851
91405,30,34.2001,-118.4456
95134,30,37.4087,-121.9406
91304,30,34.2197,-118.6111
95367,29,37.7298,-120.942
90022,29,34.0245,-118.1561
94803,29,37.9693,-122.2901
91006,29,34.1324,-118.0264
95401,29,38.4432,-122.7547
91316,29,34.1655,-118.5175
92316,29,34.0662,-117.3993
92395,29,34.5016,-117.2944
95391,29,37.7695,-121.5397
91101,29,34.1468,-118.1391
91042,29,34.2544,-118.2849
93706,29,36.6486,-119.9987
95661,29,38.7346,-121.234
95131,28,37.3864,-121.88
94952,28,38.2403,-122.6777
92028,28,33.369,-117.229
95621,28,38.6952,-121.3075
90304,28,33.9379,-118.3586
94040,28,37.3855,-122.088
91770,28,34.0658,-118.0853
94579,28,37.6892,-122.1507
95119,28,37.2329,-121.7875
92056,28,33.1968,-117.2831
92694,28,33.5472,-117.6238
95368,28,37.7083,-121.0864
91384,28,34.4827,-118.6254
94118,28,37.7812,-122.4614
92706,28,33.7691,-117.8855
94116,28,37.7441,-122.4863
91324,28,34.2367,-118.5466
94552,28,37.7131,-122.0381
94102,28,37.7813,-122.4167
92320,27,33.9946,-117.043
92595,27,33.6021,-117.264
94551,27,37.7526,-121.77
92081,27,33.1644,-117.2403
90033,27,34.0487,-118.2084
91364,27,34.1557,-118.6
95132,27,37.4031,-121.8585
95670,27,38.6072,-121.2761
90713,27,33.8473,-118.1115
95307,27,37.5833,-120.9496
90040,27,33.9909,-118.1532
91355,27,34.3985,-118.5535
92301,27,34.5841,-117.4242
90732,27,33.742,-118.3121
92065,27,33.0293,-116.8535
93454,27,34.9545,-120.4325
94085,27,37.3886,-122.0177
91932,27,32.5783,-117.1148
90717,27,33.7938,-118.3172
95825,26,38.5892,-121.4057
95811,26,38.5762,-121.488
